airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-09,Banglore,New Delhi,05:45:00,10:25:00,280,1.0,In-flight meal not included,11087
Air India,2019-03-09,Delhi,Cochin,21:40:00,07:40:00,600,1.0,No Info,13832
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No Info,14151
Air India,2019-05-06,Kolkata,Banglore,19:00:00,09:50:00,890,1.0,No Info,6117
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,No Info,14178
Spicejet,2019-06-12,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4649
Indigo,2019-06-27,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5054
Multiple Carriers,2019-03-21,Delhi,Cochin,06:00:00,15:30:00,570,1.0,No Info,11269
Air India,2019-06-21,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,9663
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,08:10:00,745,1.0,No Info,14231
Indigo,2019-03-09,Banglore,New Delhi,07:30:00,12:20:00,290,1.0,No Info,5694
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14388
Jet Airways,2019-06-27,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,10262
Spicejet,2019-06-06,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Air Asia,2019-05-09,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6751
Indigo,2019-04-15,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4174
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,No Info,14388
Indigo,2019-03-15,Mumbai,Hyderabad,21:20:00,22:45:00,85,0.0,No Info,2754
Multiple Carriers,2019-03-21,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,6883
Air India,2019-05-06,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6934
Spicejet,2019-04-15,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Goair,2019-04-12,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,4937
Indigo,2019-05-21,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Spicejet,2019-04-18,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,4319
Jet Airways,2019-06-15,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4050
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,15129
Spicejet,2019-06-27,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,4319
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,22:35:00,1595,1.0,In-flight meal not included,10844
Indigo,2019-03-15,Banglore,New Delhi,14:25:00,19:25:00,300,1.0,No Info,9165
Multiple Carriers,2019-05-21,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,8099
Indigo,2019-03-21,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3384
Air India,2019-05-01,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No Info,16372
Air Asia,2019-05-18,Kolkata,Banglore,19:55:00,23:30:00,215,1.0,No Info,6857
Jet Airways,2019-03-27,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,12242
Jet Airways,2019-06-24,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Jet Airways,2019-03-01,Banglore,New Delhi,08:55:00,18:25:00,570,1.0,No Info,26890
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,9397
Air Asia,2019-05-24,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No Info,5192
Jet Airways,2019-04-21,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Indigo,2019-06-24,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Multiple Carriers,2019-05-21,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,14067
Indigo,2019-05-12,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No Info,14151
Air India,2019-05-01,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Air Asia,2019-05-09,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,8586
Air India,2019-03-09,Delhi,Cochin,21:30:00,19:15:00,1305,2.0,No Info,11762
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,No Info,13364
Spicejet,2019-03-18,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No check-in baggage included,2385
Vistara,2019-05-18,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6741
Air India,2019-06-27,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,7480
Jet Airways,2019-05-09,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,12373
Air Asia,2019-05-27,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,6752
Spicejet,2019-05-21,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3573
Air India,2019-06-01,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,12940
Air India,2019-05-01,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,6117
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Spicejet,2019-03-09,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,4622
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,In-flight meal not included,9663
Multiple Carriers,2019-04-09,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,6106
Multiple Carriers,2019-06-12,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,7408
Indigo,2019-06-24,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,4804
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,In-flight meal not included,10844
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,16:45:00,1505,1.0,No Info,12395
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,7438
Jet Airways,2019-06-15,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Spicejet,2019-03-15,Banglore,New Delhi,10:20:00,18:15:00,475,1.0,No Info,10341
Spicejet,2019-05-18,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Indigo,2019-05-09,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Spicejet,2019-04-09,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Indigo,2019-03-24,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,4377
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No Info,14151
Multiple Carriers,2019-05-18,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,8073
Vistara,2019-03-03,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No Info,8028
Air India,2019-04-24,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6121
Spicejet,2019-06-06,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No Info,3597
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,09:05:00,1555,1.0,No Info,7927
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,In-flight meal not included,9663
Indigo,2019-06-09,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,5224
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,08:15:00,1455,1.0,In-flight meal not included,10405
Vistara,2019-04-09,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,10844
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,13044
Air India,2019-05-15,Kolkata,Banglore,10:00:00,13:45:00,1665,2.0,No Info,16057
Air India,2019-06-01,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,7198
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,13029
Jet Airways,2019-03-09,Banglore,New Delhi,05:50:00,15:00:00,550,1.0,In-flight meal not included,10037
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,12898
Air India,2019-06-01,Delhi,Cochin,17:00:00,19:15:00,1575,1.0,No Info,8792
Goair,2019-06-06,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Air India,2019-05-09,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,8372
Indigo,2019-06-03,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No Info,3943
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No Info,12681
Multiple Carriers,2019-06-01,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No Info,11200
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,18:10:00,700,1.0,In-flight meal not included,10031
Indigo,2019-03-18,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No Info,3858
Jet Airways,2019-03-03,Delhi,Cochin,16:00:00,18:50:00,1610,1.0,No Info,17234
Multiple Carriers,2019-03-03,Delhi,Cochin,17:30:00,01:35:00,485,1.0,No Info,17057
Air India,2019-03-12,Banglore,New Delhi,06:45:00,23:15:00,990,1.0,No Info,11602
Indigo,2019-03-21,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4148
Jet Airways,2019-04-18,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Jet Airways,2019-06-24,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,8016
Indigo,2019-03-21,Delhi,Cochin,07:30:00,15:30:00,480,1.0,No Info,10208
Air India,2019-03-21,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,No Info,5092
Vistara,2019-06-06,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Indigo,2019-05-18,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3943
Air India,2019-05-21,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,11543
Jet Airways,2019-05-09,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12373
Air India,2019-03-06,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,16439
Spicejet,2019-06-21,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,20:20:00,375,1.0,No Info,13555
Jet Airways,2019-06-01,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Jet Airways,2019-06-27,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,10262
Air India,2019-04-01,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,2050
Spicejet,2019-03-03,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No Info,6860
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,18:50:00,350,1.0,No Info,17024
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,07:40:00,1055,1.0,In-flight meal not included,7832
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,12239
Air India,2019-05-18,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,10151
Jet Airways,2019-06-12,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,10368
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No check-in baggage included,6205
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No Info,15554
Air Asia,2019-04-03,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4107
Spicejet,2019-06-18,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Spicejet,2019-05-21,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,5975
Jet Airways,2019-06-09,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,No Info,13882
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,10262
Jet Airways,2019-06-01,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,16079
Indigo,2019-06-03,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3943
Air India,2019-06-01,Delhi,Cochin,05:15:00,07:40:00,1585,3.0,No Info,12383
Multiple Carriers,2019-06-09,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,6513
Indigo,2019-03-03,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No Info,8049
Indigo,2019-03-24,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,8033
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,12:00:00,1655,1.0,In-flight meal not included,7064
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,11507
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,12717
Multiple Carriers,2019-03-21,Delhi,Cochin,10:00:00,21:00:00,660,1.0,In-flight meal not included,8085
Air India,2019-03-09,Banglore,New Delhi,06:50:00,12:15:00,325,1.0,No Info,5118
Multiple Carriers,2019-05-21,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,14067
Air India,2019-05-15,Kolkata,Banglore,07:00:00,16:15:00,555,1.0,No Info,11936
Vistara,2019-03-09,Banglore,New Delhi,16:10:00,18:50:00,160,0.0,No Info,7923
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,14151
Air India,2019-06-09,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,12257
Air India,2019-05-27,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10231
Air India,2019-04-27,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6094
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,In-flight meal not included,11841
Vistara,2019-04-06,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,5613
Air Asia,2019-06-24,Delhi,Cochin,16:45:00,06:35:00,830,1.0,No Info,6752
Air India,2019-06-06,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,13591
Spicejet,2019-05-24,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Indigo,2019-06-06,Kolkata,Banglore,20:25:00,23:10:00,165,0.0,No Info,4804
Air India,2019-04-01,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,4729
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,No Info,14571
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,04:25:00,555,2.0,No Info,10976
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,In-flight meal not included,10539
Jet Airways,2019-03-21,Delhi,Cochin,20:50:00,04:25:00,455,1.0,No Info,14189
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,In-flight meal not included,10703
Air India,2019-03-18,Banglore,New Delhi,08:50:00,23:25:00,2315,2.0,No Info,10783
Indigo,2019-05-27,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No Info,7514
Jet Airways,2019-03-06,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,11:25:00,1280,1.0,In-flight meal not included,7832
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,7064
Multiple Carriers,2019-06-27,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,7354
Indigo,2019-03-03,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,6144
Multiple Carriers,2019-06-27,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,14848
Multiple Carriers,2019-04-09,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,6838
Air India,2019-06-12,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Jet Airways,2019-03-24,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,2759
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,In-flight meal not included,9663
Vistara,2019-03-15,Banglore,New Delhi,06:40:00,12:35:00,355,1.0,No Info,6800
Indigo,2019-03-24,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,5694
Jet Airways,2019-05-21,Banglore,Delhi,15:50:00,18:45:00,175,0.0,In-flight meal not included,3359
Multiple Carriers,2019-06-12,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Multiple Carriers,2019-06-03,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,13377
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,7757
Indigo,2019-04-18,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,4423
Indigo,2019-05-18,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,09:00:00,1135,1.0,No Info,17261
Indigo,2019-03-27,Delhi,Cochin,06:40:00,15:30:00,530,1.0,No Info,8574
Indigo,2019-04-09,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,6270
Spicejet,2019-05-18,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,09:30:00,1310,1.0,No Info,25735
Indigo,2019-06-03,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,6104
Jet Airways,2019-04-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,10909
Jet Airways,2019-05-15,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,12:25:00,810,1.0,No Info,13817
Indigo,2019-04-27,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6937
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,9899
Air India,2019-05-12,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3625
Jet Airways,2019-06-12,Delhi,Cochin,12:15:00,04:25:00,970,2.0,No Info,14300
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-27,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Jet Airways,2019-06-01,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,10262
Jet Airways,2019-06-03,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,10368
Air India,2019-06-09,Kolkata,Banglore,09:50:00,23:15:00,805,3.0,No Info,14960
Air India,2019-05-18,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3100
Air India,2019-03-03,Banglore,New Delhi,06:45:00,11:10:00,1705,2.0,No Info,12599
Air India,2019-03-18,Banglore,New Delhi,06:45:00,16:20:00,575,2.0,No Info,12935
Indigo,2019-06-09,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No Info,6442
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,No Info,13941
Air India,2019-03-18,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No Info,4441
Jet Airways,2019-06-06,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Jet Airways,2019-06-18,Delhi,Cochin,09:50:00,13:05:00,195,0.0,In-flight meal not included,4466
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,07:40:00,1420,1.0,No Info,22270
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,8452
Multiple Carriers,2019-03-27,Delhi,Cochin,04:00:00,15:30:00,690,1.0,No Info,6305
Vistara,2019-06-01,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Air India,2019-03-15,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,No Info,5932
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,18:15:00,1265,1.0,In-flight meal not included,10844
